GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
entrega-de-marmitas,com.marmitas.entregademarmitas.security,JwtAuthenticationFilter,67,0,10,0,19,0,6,0,1,0
entrega-de-marmitas,com.marmitas.entregademarmitas.security,CustomUserDetailsService,15,0,0,0,2,0,2,0,2,0
entrega-de-marmitas,com.marmitas.entregademarmitas.security,SecurityConfig,82,0,0,0,17,0,7,0,7,0
entrega-de-marmitas,com.marmitas.entregademarmitas.security,JwtTokenUtil,85,0,0,0,32,0,6,0,6,0
entrega-de-marmitas,com.marmitas.entregademarmitas.service,DataInitializationService,36,0,2,0,11,0,3,0,2,0
entrega-de-marmitas,com.marmitas.entregademarmitas.service,RetiradaService,224,0,14,0,51,0,21,0,14,0
entrega-de-marmitas,com.marmitas.entregademarmitas.service,ClienteService,274,0,46,0,45,0,37,0,14,0
entrega-de-marmitas,com.marmitas.entregademarmitas.service,ExcelExportService,886,72,30,0,215,5,20,1,5,1
entrega-de-marmitas,com.marmitas.entregademarmitas.service,MoradorRuaService,0,124,0,14,0,25,0,16,0,9
entrega-de-marmitas,com.marmitas.entregademarmitas.controller,RetiradaController,50,553,7,23,12,126,7,21,0,13
entrega-de-marmitas,com.marmitas.entregademarmitas.controller,AuthController,44,0,0,0,9,0,1,0,1,0
entrega-de-marmitas,com.marmitas.entregademarmitas.controller,ClienteController,189,0,0,0,49,0,14,0,14,0
entrega-de-marmitas,com.marmitas.entregademarmitas,EntregaDeMarmitasApplication,5,3,0,0,2,1,1,1,1,1
entrega-de-marmitas,com.marmitas.entregademarmitas.model,MoradorRua,0,22,0,2,0,9,0,3,0,2
entrega-de-marmitas,com.marmitas.entregademarmitas.model,Retirada,9,24,0,0,4,10,1,7,1,7
entrega-de-marmitas,com.marmitas.entregademarmitas.model,Usuario,17,0,0,0,5,0,5,0,5,0
entrega-de-marmitas,com.marmitas.entregademarmitas.exception,ClienteDuplicadoException,9,0,0,0,4,0,2,0,2,0
